,date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant_growth,leaves,leafspots_halo,leafspots_marg,leafspot_size, leaf_shread,leaf_malf,leaf_mild,stem,lodging,stem_cankers,canker_lesion,fruiting_bodies,external_decay,mycelium,int_discolor,sclerotia,fruit_pods,fruit_spots,seed,mold_growth,seed_discolor,seed_size,shriveling,roots,k1_label,k2_label,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k9_label,k10_label,k11_label,k12_label,k13_label,k14_label,k15_label,k16_label,k17_label,k18_label,k19_label,k20_label,k21_label,k22_label,k23_label,k24_label,k25_label,k26_label,k27_label,k28_label,k29_label,k30_label,k31_label,k32_label,k33_label,k34_label,k35_label,k36_label,k37_label,k38_label,k39_label,k40_label,k41_label,k42_label,k43_label,k44_label,k45_label,k46_label,k47_label,k48_label,k49_label,k50_label,k51_label,k52_label,k53_label,k54_label,k55_label,k56_label,k57_label,k58_label,k59_label
0,6,0,2,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
1,4,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
2,3,0,2,1,0,1,0,2,1,2,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
3,3,0,2,1,0,1,0,2,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
4,6,0,2,1,0,2,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
5,5,0,2,1,0,3,0,1,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
6,5,0,2,1,0,2,0,1,1,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
7,4,0,2,1,1,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
8,6,0,2,1,0,3,0,1,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
9,4,0,2,1,0,2,0,2,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
10,6,0,0,2,0,1,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,6,8,32,5,32,31,9,12,29,31,34,38,25,0,28,27,31,32,8,27
11,4,0,0,1,1,1,3,1,1,1,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
12,3,0,0,1,0,1,2,1,0,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
13,6,0,0,1,1,3,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,6,8,32,5,32,31,9,12,29,31,34,38,25,0,28,27,31,32,8,27
14,6,0,0,2,0,1,3,1,1,1,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,6,8,32,5,32,31,9,12,29,31,34,38,25,0,28,27,31,32,8,27
15,5,0,0,2,1,3,3,1,1,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
16,6,0,0,2,1,0,2,1,0,0,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,6,8,32,5,32,31,9,12,29,31,34,38,25,0,28,27,31,32,8,27
17,4,0,0,1,0,2,2,1,0,1,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
18,3,0,0,2,0,2,2,1,0,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
19,5,0,0,2,1,2,2,1,0,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,2,2,2,5,5,6,6,6,7,9,8,9,10,1,7,7,12,8,7,21,19,8,5,11,11,9,0,14,18,14,2,9,9,8,9,15,13,39,30,6,22,13,15,17,19,16,21,6,7,13,22,15,16,29,20,2,17
20,1,1,2,0,0,2,1,2,0,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
21,1,1,2,0,0,1,1,2,0,1,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
22,3,0,2,0,1,3,1,2,0,1,1,0,0,2,2,0,0,0,1,1,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
23,0,1,2,0,0,0,1,1,1,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
24,0,1,2,0,0,1,1,2,1,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
25,1,1,2,0,0,3,1,2,0,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
26,1,1,2,0,0,0,1,1,0,1,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
27,2,1,2,0,0,2,1,1,0,1,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
28,1,1,2,0,0,1,1,2,0,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
29,2,1,2,0,0,1,1,2,0,2,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
30,0,1,2,1,1,1,1,1,0,0,1,1,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
31,1,1,2,1,0,3,1,0,0,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,47,37,8,35,29,35,25,35,35,25,36,23
32,2,1,2,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,55,4,14,4
33,1,1,2,0,0,2,1,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
34,2,1,2,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,20,51,34,36
35,3,1,2,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,55,4,14,4
36,0,1,1,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
37,3,1,2,0,0,2,1,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
38,2,1,1,1,0,0,1,0,0,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,7,12,32,25,20,10,13,11,6,2,25,28
39,2,1,2,0,0,1,1,2,0,1,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
40,2,1,2,1,0,1,1,0,0,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,7,12,32,25,20,10,13,11,6,2,25,28
41,1,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,20,51,34,36
42,0,1,2,1,0,3,1,1,0,0,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
43,0,1,1,1,1,2,1,2,1,0,1,1,0,2,2,0,0,0,1,1,2,2,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
44,3,1,2,0,0,1,1,2,1,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
45,2,1,2,2,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,55,4,14,4
46,0,1,2,1,0,2,1,1,0,1,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
47,2,1,1,2,0,2,1,0,0,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,47,37,8,35,29,35,25,35,35,25,36,23
48,2,1,2,1,1,1,1,2,0,2,1,1,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,10,2,19,9,22,16,10,11,20,17,11,2,20,1,0,12,17,6,22,10,9,21,21,6,11,5,2,16,8,0,22
49,0,1,2,1,0,3,1,1,0,2,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
50,1,1,2,1,0,0,1,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,27,28,26,10,16,13,0,19,16,12,12,2,17,15,0,19,21,13,18,0,15,22,0,19,2,19,20,15,19,0,19,11
51,1,1,2,1,0,0,1,0,0,0,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,7,12,32,25,20,10,13,11,6,2,25,28
52,3,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,55,4,14,4
53,2,1,2,1,0,1,1,0,0,0,1,1,0,2,2,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,7,12,32,25,20,10,13,11,6,2,25,28
54,3,1,2,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,5,12,6,11,3,9,7,5,17,16,16,5,1,6,3,15,12,10,3,0,12,14,3,6,11,1,11,8,0,12,1,46,4,8,15,14,0,9,10,13,55,4,14,4
55,1,1,2,1,1,3,1,2,0,1,1,1,0,2,2,0,0,0,1,1,1,2,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,1,3,6,3,0,0,2,4,5,5,5,6,4,8,7,10,8,1,1,7,4,6,4,3,2,21,26,26,27,25,24,24,23,11,0,24,19,16,25,17,18,2,20,0,19,11,12,21,13,26,17,22,16,24,21
56,3,1,1,1,0,3,1,0,0,0,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,4,1,5,7,3,1,7,1,0,13,6,13,10,9,10,17,12,9,11,4,13,5,11,16,13,31,7,2,16,4,16,13,19,8,17,8,13,3,11,10,17,47,37,8,35,29,35,25,35,35,25,36,23
